103,105.2,Jusuf Nurkic,C,PHO,54,28.0,"0.541

(5.1/9.4)","0.690

(2.5/3.6)",0.6,13.2,9.1,2.5,0.8,0.9,1.8,1.36
104,126.0,Al Horford,"PF,C",BOS,58,27.8,"0.471

(3.5/7.5)","0.771

(0.6/0.8)",1.7,9.4,6.6,3.0,0.6,1.1,0.7,1.35
105,144.8,Paul Reed,"PF,C",PHI,69,22.2,"0.567

(4.2/7.4)","0.713

(1.0/1.4)",0.1,9.5,6.6,1.3,1.1,1.3,1.3,1.34
106,120.3,Bojan Bogdanovic,"SG,SF",DET,68,31.4,"0.471

(6.7/14.3)","0.872

(3.9/4.4)",2.6,19.9,4.1,2.1,0.5,0.1,2.0,1.33
107,81.1,Buddy Hield,"SG,SF",IND,76,28.0,"0.447

(5.4/12.1)","0.848

(1.2/1.5)",3.1,15.2,4.3,2.6,0.9,0.3,1.7,1.32
108,106.0,Keegan Murray,"SF,PF",SAC,78,31.0,"0.465

(5.1/11.0)","0.780

(1.1/1.4)",2.7,14.0,4.9,1.3,0.9,0.6,0.9,1.25
109,96.6,Jalen Duren,C,DET,70,28.2,"0.648

(4.4/6.8)","0.612

(1.6/2.7)",0.0,10.4,10.1,1.3,0.8,1.2,1.6,1.21
110,120.5,Ivica Zubac,C,LAC,76,27.5,"0.630

(4.4/7.0)","0.713

(2.3/3.2)",0.0,11.1,9.7,1.4,0.5,1.2,1.6,1.20
111,119.1,Bruce Brown,"PG,SG,SF",IND,70,29.8,"0.488

(4.6/9.4)","0.756

(1.6/2.1)",1.0,11.7,5.0,3.1,1.2,0.8,1.3,1.19
112,97.6,Scoot Henderson,PG,POR,72,30.5,"0.442

(6.5/14.6)","0.797

(2.1/2.6)",1.5,16.4,5.1,5.8,1.1,0.3,3.4,1.18
113,134.4,Herbert Jones,"SF,PF",NO,69,30.0,"0.473

(3.6/7.6)","0.803

(1.8/2.3)",0.8,9.8,4.0,2.3,1.7,0.7,1.3,1.16
114,137.0,Immanuel Quickley,"PG,SG",NY,76,28.6,"0.448

(5.2/11.6)","0.847

(2.7/3.1)",2.1,15.2,4.1,3.9,1.0,0.1,1.4,1.16
115,111.0,Bobby Portis,"PF,C",MIL,71,27.2,"0.487

(5.8/12.0)","0.759

(1.3/1.7)",1.6,14.6,9.5,1.4,0.6,0.5,1.2,1.12
116,103.0,Wendell Carter Jr.,C,ORL,62,29.9,"0.525

(5.8/11.1)","0.714

(2.5/3.4)",1.3,15.4,8.7,2.2,0.6,0.7,1.9,1.09
